NTHREAD, 1000, 1000, 1000, 10000, 10000, 10000, 100000, 100000, 100000, 1000000, 1000000, 1000000, 10000000, 10000000, 10000000, 100000000, 100000000, 100000000
1, 7520, 1333, 95.2986022872, 11560, 13333, 95.4437827366, 60361, 133333, 95.4539842099, 449328, 1333333, 95.4543834938, 4353560, 13333333, 95.4542687652, 43627518, 133333333, 95.4542754059
2, 5800, 667, 92.9118773946, 8240, 10150, 92.6862925483, 32960, 101339, 92.6556191907, 227764, 1026767, 92.6474064856, 2180999, 10134115, 92.6466998382, 21963234, 102674514, 92.6466300915
4, 5800, 333, 89.4660894661, 7520, 3333, 87.7523553163, 26721, 68021, 87.5408008916, 124002, 680085, 87.5056463637, 1093824, 6934151, 87.4989825588, 11112844, 68007803, 87.4990842915
8, 6000, 167, 86.0194174757, 7240, 2541, 81.5331010453, 14400, 34027, 80.7975460123, 69281, 340011, 80.7791289375, 558169, 3467113, 80.7680853001, 5697983, 34003951, 80.7723449117
16, 6360, 84, 80.5774278215, 6960, 4772, 69.23076923080001, 12040, 12682, 66.7268862912, 42600, 128369, 66.669510186, 279805, 1266765, 66.6653868018, 3567183, 12835661, 66.3695605647
32, 5760, 43, 77.2870662461, 6680, 1325, 55.9639389736, 8600, 14380, 50.6735996218, 25280, 139907, 50.065895095, 151162, 1398792, 50.003759188, 3527022, 14366556, 49.9977361684
64, 6200, 42, 69.0987124464, 7000, 418, 55.9251559252, 9400, 8692, 50.6735996218, 25360, 85198, 50.0670947954, 124122, 852106, 50.003759188, 3413340, 8526080, 49.9978481553
128, 6320, 44, 60.5405405405, 7120, 420, 55.9251559252, 9440, 6356, 50.6735996218, 25160, 63293, 50.0662949887, 124482, 641783, 50.0037191937, 3546623, 6344707, 49.9979801404
256, 6400, 40, 54.0880503145, 7360, 424, 55.8864265928, 8560, 4168, 50.6735996218, 25080, 41672, 50.0670947954, 124402, 416672, 50.003759188, 3607025, 4166664, 49.9980161365
512, 5680, 48, 50.3448275862, 6760, 1888, 54.0130151844, 8640, 4176, 50.6775921841, 25160, 41680, 50.0674947083, 124402, 416688, 50.003759188, 3483663, 4166672, 49.9980761301
1024, 5640, 32, 47.8260869565, 8400, 416, 51.9667170953, 9120, 8282, 50.6775921841, 25120, 86930, 50.0670947954, 124202, 869457, 50.0038391769, 3561661, 8535788, 49.9983161057
