NTHREAD, 1000, 1000, 1000, 10000, 10000, 10000, 100000, 100000, 100000, 1000000, 1000000, 1000000, 10000000, 10000000, 10000000, 100000000, 100000000, 100000000
1, 2920, 1333, 94.9067431851, 6920, 13333, 95.3997093023, 46201, 133333, 95.4497523798, 436568, 1333334, 95.4539371963, 4341040, 13333333, 95.4542261168, 43415274, 133333333, 95.4542720007
2, 3680, 2827, 91.7824074074, 5680, 9982, 92.579588015, 30241, 99690, 92.6433753925, 229964, 996758, 92.6461972825, 2172439, 9967462, 92.6465724958, 21727678, 66666667, 92.6466167168
4, 3360, 333, 86.3547758285, 4400, 6659, 87.3556352051, 23120, 66365, 87.4947545111, 121483, 663433, 87.5003749168, 1088180, 6634143, 87.4985225334, 10877160, 33333334, 87.4988380338
8, 2640, 167, 79.4029850746, 3160, 3335, 80.6066176471, 9960, 33198, 80.7404671775, 56801, 331731, 80.7656686062, 545850, 3317084, 80.7668331671, 5451420, 16666666, 80.7675418341
16, 3560, 252, 64.6766169154, 2840, 1251, 66.4546899841, 7641, 12474, 66.4612911867, 40040, 124604, 66.6515518474, 285166, 1245946, 66.6627734205, 2879573, 8333333, 66.5649277733
32, 3000, 43, 49.6350364964, 3120, 417, 49.9207606973, 5240, 13537, 49.9840179, 30480, 135230, 49.9964005471, 150043, 1352147, 49.9967602359, 3019334, 4166667, 49.9970321785
64, 2960, 82, 49.2647058824, 2840, 836, 49.8812351544, 5080, 8323, 49.9840179, 12720, 83129, 49.9964005471, 87682, 831292, 49.9967602359, 3014775, 4166666, 49.9971001705
128, 2720, 44, 48.5294117647, 3160, 628, 49.8812351544, 4840, 6248, 49.9840179, 12080, 62304, 49.9960006399, 88601, 622984, 49.9967202414, 3008574, 4166668, 49.9973281449
256, 2960, 40, 48.1481481481, 3480, 424, 49.8417721519, 5280, 4168, 49.9840179, 12600, 41672, 49.9972003807, 90402, 416672, 49.9967602359, 3004774, 4166664, 49.9973161462
512, 2960, 320, 48.1203007519, 2880, 432, 49.8812351544, 5120, 4176, 49.9920076726, 12720, 41696, 49.9976003072, 93402, 416688, 49.9967602359, 2994893, 4166672, 49.9973481428
1024, 2720, 320, 47.7272727273, 2720, 416, 49.9207606973, 5200, 4192, 49.9920076726, 13041, 83081, 49.9972003807, 99602, 831483, 49.9968002304, 2945893, 4166688, 49.9976681106
