Kernel,Optimisation,ProblemSize,BlockSize,GridSize,MyDurationMin,MyDurationMed,Scalability,DurationNs,MeanOccupancyPerCU,MeanOccupancyPerActiveCU,GPUBusy,Wavefronts,L2CacheHit,SALUInsts,VALUInsts,SFetchInsts
saxpy,NOPT,10000000,8,1250000,614701,617747,0.50,544049,17.3079137293,17.8026717821,100,1666666,80.7692769229,2,9,4
saxpy,NOPT,10000000,16,625000,341864,345372,1.03,284245,16.8641640739,17.9281152534,100,833334,66.6656888618,2,9,4
saxpy,NOPT,10000000,24,416667,254750,257086,0.92,194084,16.7534739506,18.3131352814,100,555556,69.9990831734,2,9,4
saxpy,NOPT,10000000,32,312500,206063,210003,1.91,149123,16.2530476332,18.2763150606,100,416666,50.0001599992,2,9,4
saxpy,NOPT,10000000,40,250000,194249,227726,17.23,117282,33.1838404632,37.721651196,100,666668,66.6513726227,2,9,4
saxpy,NOPT,10000000,48,208334,186897,190841,2.11,100322,31.7915707605,38.0927618157,100,555558,57.1225040934,2,8.9999874001,3.9999964
saxpy,NOPT,10000000,56,178572,181423,184607,1.76,87681,33.0552736151,39.1291824318,100,476192,63.0815498704,2,8.9999853,3.9999958
saxpy,NOPT,10000000,64,156250,178311,183413,2.86,77962,31.8022898793,38.5750348481,100,416666,49.996680247,2,9,4
saxpy,NOPT,10000000,72,138889,188243,193737,2.92,105162,31.8216418353,36.7003567755,100,555558,61.9464021658,2,8.9999748001,3.9999928
saxpy,NOPT,10000000,80,125000,182261,185739,1.91,95601,30.3733536654,36.6180805217,100,499998,54.1300520792,2,9,4
saxpy,NOPT,10000000,88,113637,179736,183768,2.24,89802,31.1125064547,36.6973549846,100,454548,60.2268482963,2,8.9999384003,3.9999824001
saxpy,NOPT,10000000,96,104167,180409,183131,1.51,81602,30.6447005372,36.6468438963,100,416667,49.9968002304,2,8.9999664,3.9999904
saxpy,NOPT,10000000,104,96154,181263,184191,1.62,93841,32.3374764193,39.1446724484,100,512820,60.2385620125,2,8.99998635,3.9999961
saxpy,NOPT,10000000,112,89286,181792,185118,1.83,87362,31.9076123847,39.073988794,100,476192,53.0219767832,2,8.9999853,3.9999958
saxpy,NOPT,10000000,120,83334,180585,185599,2.78,83882,32.7603789,39.2185589704,100,444448,59.0845777527,2,8.9999685003,3.9999910001
saxpy,NOPT,10000000,128,78125,178333,181903,2.00,78201,31.5997591208,38.3282210344,100,416668,49.9967202414,2,9,4
saxpy,NOPT,10000000,136,73530,185445,188317,1.55,98761,30.0983301684,35.049173147,100,490200,59.1712192586,2,8.9999143207,3.9999755202
saxpy,NOPT,10000000,144,69445,182899,187485,2.51,92562,29.8780569647,34.9863062699,100,462965,52.351387034,2,8.9999092804,3.9999740801
saxpy,NOPT,10000000,152,65790,177847,182819,2.80,89681,29.5500695834,35.0722703637,100,438600,58.3656260615,2,8.9999361605,3.9999817601
saxpy,NOPT,10000000,160,62500,179204,184904,3.18,84762,29.4456927569,34.976834221,100,416665,49.9968002304,2,9,4
saxpy,NOPT,10000000,168,59524,186304,190928,2.48,97442,28.6952891257,35.0667394716,100,476190,58.5387434881,2,8.9999706,3.9999916
saxpy,NOPT,10000000,176,56819,184091,188561,2.43,92441,28.8412144526,35.1765435318,100,454548,51.921893604,2,8.9998460009,3.9999560002
saxpy,NOPT,10000000,184,54348,181567,186656,2.80,89842,29.7540304784,35.1219439843,100,434784,57.9123243842,2,8.9999839001,3.9999954
saxpy,NOPT,10000000,192,52084,182205,185055,1.56,85083,29.4063791594,34.9899296613,100,416670,49.9967602359,2,8.9998656011,3.9999616003
saxpy,NOPT,10000000,200,50000,180684,184476,2.10,93842,30.4766766302,35.7173671365,100,466662,58.0912454125,2,9,4
saxpy,NOPT,10000000,208,48077,178165,181149,1.67,90282,30.1996037785,35.6282808645,100,448721,51.6652271376,2,8.9999688002,3.9999910858
saxpy,NOPT,10000000,216,46297,183345,186973,1.98,88642,29.3487129759,35.7563208957,100,432103,57.5717446785,2,8.9998380016,3.9999537147
saxpy,NOPT,10000000,224,44643,176813,184563,4.38,84321,29.8534117685,35.6252716004,100,416668,49.9966402527,2,8.9999664001,3.9999904
saxpy,NOPT,10000000,232,43104,176805,180457,2.07,87562,32.343735904,38.7286722148,100,459776,57.7393809956,2,8.9998782016,3.9999652004
saxpy,NOPT,10000000,240,41667,176531,182306,3.27,83962,32.3289990582,38.6061314855,100,444448,51.4127214106,2,8.9999055008,3.9999730002
saxpy,NOPT,10000000,248,40323,181072,184634,1.97,83923,32.4411227907,38.6935442776,100,430112,57.3096631479,2,8.9999511755,3.9999860501
saxpy,NOPT,10000000,256,39063,179323,181599,1.27,80041,31.3887510517,37.8377037283,100,416672,49.9968002304,2,8.9999328009,3.9999808002
saxpy,NOPT,10000000,264,37879,182744,191392,4.73,96203,28.8045635629,33.6186315509,100,454545,57.4969963058,2,8.9999692,3.9999912
saxpy,NOPT,10000000,272,36765,179125,185543,3.58,93362,28.6827068164,33.574313144,100,441180,51.26422891,2,8.9999048008,3.9999728002
saxpy,NOPT,10000000,280,35715,180181,184219,2.24,91202,28.6020239835,33.638872508,100,428580,57.1353531641,2,8.9998040039,3.9999440011
saxpy,NOPT,10000000,288,34723,181809,185437,2.00,87482,28.2732553499,33.4881048861,100,416673,49.9968802196,2,8.9997648036,3.999932801
saxpy,NOPT,10000000,296,33784,182385,185825,1.89,94242,29.6828222776,34.7610167366,100,450450,57.2923968697,2,8.9999378399,3.99998224
saxpy,NOPT,10000000,304,32895,179307,186689,4.12,91281,29.4738192728,34.8203422001,100,438600,51.1233802588,2,8.9999521204,3.9999863201
saxpy,NOPT,10000000,312,32052,183049,186983,2.15,90322,29.4309962104,34.7270067703,100,427360,56.9710011145,2,8.9998853426,3.9999672407
saxpy,NOPT,10000000,320,31250,178185,181999,2.14,87041,28.3556977304,34.5804637658,100,416670,49.9968802196,2,9,4
saxpy,NOPT,10000000,328,30488,176967,183241,3.55,94002,29.3146249995,34.1364322661,100,447150,57.1341871943,2,8.9999373812,3.9999821089
saxpy,NOPT,10000000,336,29762,184825,189929,2.76,91642,28.8661694501,34.0795000589,100,436502,51.0281098698,2,8.9999679268,3.9999908362
saxpy,NOPT,10000000,344,29070,176349,181825,3.11,90482,28.9386605112,34.1891240683,100,426360,56.8547952921,2,8.9999343278,3.9999812365
saxpy,NOPT,10000000,352,28410,178583,180411,1.02,88201,28.6563712458,33.9761015636,100,416680,49.9968002304,2,8.9996640108,3.9999040031
saxpy,NOPT,10000000,360,27778,179603,183515,2.18,89562,30.758422762,36.3670487357,100,444444,56.9940322618,2,8.99995275,3.9999865
saxpy,NOPT,10000000,368,27174,179487,184781,2.95,87562,30.7232764003,36.3150644457,100,434784,50.9357010654,2,8.9999678001,3.9999908
saxpy,NOPT,10000000,376,26596,181837,185285,1.90,86682,30.6943313126,36.3895189812,100,425532,56.7375798171,2,8.9999013,3.9999718
saxpy,NOPT,10000000,384,26042,177943,181041,1.74,84641,29.9350512753,35.6185591874,100,416676,49.9968002304,2,8.9999328015,3.9999808004
saxpy,NOPT,10000000,392,25511,179919,185971,3.36,97802,27.5405662411,32.2021319217,100,442182,56.8846725015,2,8.9996833883,3.9999095395
saxpy,NOPT,10000000,400,25000,179997,184243,2.36,96241,26.6815432599,32.1917966542,100,433329,50.8640090681,2,9,4
saxpy,NOPT,10000000,408,24510,183075,189939,3.75,94521,27.5735451243,32.2414802939,100,424840,56.643537079,2,8.9999670464,3.9999905847
saxpy,NOPT,10000000,416,24039,179605,186267,3.71,92881,26.0410127045,32.0396415279,100,416676,49.9968802196,2,8.9997648053,3.9999328015
saxpy,NOPT,10000000,424,23585,180365,186365,3.33,94082,28.9362922647,33.9248295488,100,440244,56.7682711334,2,8.9999681995,3.9999909141
saxpy,NOPT,10000000,432,23149,182705,187389,2.56,92042,28.9360541957,33.9146053389,100,432110,50.7928748325,2,8.9996112101,3.9998889172
saxpy,NOPT,10000000,440,22728,179323,183965,2.59,91282,28.7226005838,33.9153396074,100,424256,56.5494983366,2,8.9998350053,3.9999528587
saxpy,NOPT,10000000,448,22322,176429,180861,2.51,88081,28.4149620523,33.5697658993,100,416682,49.9967202414,2,8.9998656049,3.9999616014
saxpy,NOPT,10000000,456,21930,182435,188509,3.33,90442,30.3023676675,35.7416483923,100,438600,56.6657492594,2,8.9999042408,3.9999726402
saxpy,NOPT,10000000,464,21552,178535,184191,3.17,88721,29.6371248392,35.822206699,100,431040,50.7178070873,2,8.9998700817,3.9999628805
saxpy,NOPT,10000000,472,21187,183541,186675,1.71,88482,30.1215133893,35.7561462051,100,423735,56.475690008,2,8.9997356839,3.9999244811
saxpy,NOPT,10000000,480,20834,177541,183581,3.40,86081,30.0594326257,35.5137639164,100,416670,49.996840225,2,8.9996640027,3.9999040008
saxpy,NOPT,10000000,488,20492,177367,185871,4.79,87001,31.9138867326,37.7246741132,100,437168,56.5918921903,2,8.9999039271,3.9999725506
saxpy,NOPT,10000000,496,20162,179447,182127,1.49,85162,31.7126308274,37.7440901613,100,430112,50.668957424,2,8.9996419537,3.9998977011
saxpy,NOPT,10000000,504,19842,178878,183546,2.61,85482,31.6832932529,37.7509193923,100,423296,56.4024698574,2,8.9996361884,3.9998960538
saxpy,NOPT,10000000,512,19532,184665,189485,2.61,82162,30.9397019146,37.185308909,100,416688,49.9968002304,2,8.9997984103,3.9999424029
saxpy,NOPT,10000000,520,19231,181145,184609,1.91,99802,26.9528786552,31.3002779206,100,435897,56.5594448166,2,8.9998715293,3.9999632941
saxpy,NOPT,10000000,528,18940,182719,189834,3.89,98802,26.7654450448,31.2013392675,100,429301,50.6582078843,2,8.9996738885,3.9999068253
saxpy,NOPT,10000000,536,18657,183907,191506,4.13,98202,27.0209821486,31.2832194135,100,422892,56.3857266057,2,8.9998344731,3.9999527066
saxpy,NOPT,10000000,544,18383,188779,192681,2.07,96362,26.0114865046,31.0474195389,100,416670,49.9968002304,2,8.999630403,3.9998944008
saxpy,NOPT,10000000,552,18116,180716,186624,3.27,97482,28.057225804,32.6467996453,100,434772,56.4941048734,2,8.9999677992,3.9999907998
saxpy,NOPT,10000000,560,17858,182545,188113,3.05,95081,27.9128980705,32.6175031372,100,428580,50.6046365345,2,8.9995100098,3.9998600028
saxpy,NOPT,10000000,568,17606,177079,183157,3.43,94321,29.1134858098,32.6406185731,100,422550,56.3347341597,2,8.9999006035,3.999971601
saxpy,NOPT,10000000,576,17362,180712,185046,2.40,92482,27.4683248342,32.2431101206,100,416682,49.996840225,2,8.9994624198,3.9998464057
saxpy,NOPT,10000000,584,17124,176232,180154,2.23,94082,29.0379369549,34.0168900254,100,433808,56.4353461584,2,8.9995804596,3.9998801313
saxpy,NOPT,10000000,592,16892,178891,183365,2.50,92042,29.0455115559,34.0233285228,100,427937,50.5743681871,2,8.9999345698,3.9999813057
saxpy,NOPT,10000000,600,16667,178613,183457,2.71,91761,28.9613518908,34.0140673834,100,422218,56.2854871003,2,8.9998010506,3.9999431573
saxpy,NOPT,10000000,608,16448,180959,183451,1.38,89562,28.7251853719,33.8571173677,100,416689,49.9968002304,2,8.9995968216,3.9998848062
saxpy,NOPT,10000000,616,16234,176717,183339,3.75,91161,30.1935723015,35.5134093866,100,432900,56.3839132768,2,8.9998382998,3.9999538
saxpy,NOPT,10000000,624,16026,180383,183399,1.67,88962,30.0172535064,35.5243913685,100,427360,50.5357224815,2,8.9997706851,3.9999344815
saxpy,NOPT,10000000,632,15823,179125,184699,3.11,88601,30.1456814234,35.5107217173,100,421940,56.2419014644,2,8.9999336399,3.99998104
saxpy,NOPT,10000000,640,15625,182449,185763,1.82,87161,29.3797387004,34.8205854726,100,416660,49.996840225,2,9,4
saxpy,NOPT,10000000,648,15433,191017,194021,1.57,112202,23.0146569628,27.0042106854,100,432117,56.3639447899,2,8.999384426,3.9998241217
saxpy,NOPT,10000000,656,15244,192699,198001,2.75,109802,23.3919327998,26.8863454261,100,426825,50.5239804148,2,8.9999343993,3.999981257
saxpy,NOPT,10000000,664,15061,191325,195859,2.37,110002,22.9301047295,27.0163200527,100,421701,56.2271317498,2,8.999734409,3.9999241169
saxpy,NOPT,10000000,672,14881,190627,193539,1.53,106481,23.3756997497,26.8363035822,100,416661,49.9968002304,2,8.9999663995,3.9999903999
saxpy,NOPT,10000000,680,14706,192329,196277,2.05,108842,24.246990618,27.8288030058,100,431376,56.3305637779,2,8.9999026371,3.999972182
saxpy,NOPT,10000000,688,14535,188241,192194,2.10,107962,23.6610530599,27.7387437202,100,426360,50.5038035685,2,8.9999014917,3.9999718548
saxpy,NOPT,10000000,696,14368,188002,192036,2.15,106722,24.2097914298,27.8470206648,100,421454,56.2010427856,2,8.9998671267,3.9999620362
saxpy,NOPT,10000000,704,14205,187409,190951,1.89,104242,23.3969927499,27.5361535334,100,416680,49.9968002304,2,8.9996640108,3.9999040031
saxpy,NOPT,10000000,712,14045,188479,192363,2.06,106562,24.5893182088,28.7426368775,100,430698,56.2995148142,2,8.9999349893,3.9999814255
saxpy,NOPT,10000000,720,13889,188427,193391,2.63,105522,24.1245095357,28.6347708873,100,425914,50.4789044378,2,8.9999013885,3.9999718253
saxpy,NOPT,10000000,728,13737,183981,186637,1.44,104642,24.326242504,28.7743095289,100,421268,56.1752448953,2,8.999435039,3.9998385826
saxpy,NOPT,10000000,736,13587,186385,192211,3.13,102922,23.9413315571,28.4795804375,100,416668,49.9968802196,2,8.9999664001,3.9999904
saxpy,NOPT,10000000,744,13441,191517,196729,2.72,104002,25.2650968216,29.8328247404,100,430104,56.265353171,2,8.9998697989,3.9999627997
saxpy,NOPT,10000000,752,13298,186253,189473,1.73,102682,25.1813834516,29.7053886321,100,425520,50.4621058905,2,8.9999012972,3.9999717992
saxpy,NOPT,10000000,760,13158,190809,220092,15.35,101841,25.3844344914,29.8454665545,100,421056,56.1455265399,2,8.9999667503,3.9999905001
saxpy,NOPT,10000000,768,13021,185371,191361,3.23,99282,24.9469088113,29.3344258191,100,416664,49.996840225,1.0000576004,4.5001920012,2.0000960006
saxpy,NOPT,10000000,776,12887,183073,188725,3.09,103161,26.1138275499,30.1795251557,100,429550,56.2333095741,2,8.9998370388,3.9999534396
saxpy,NOPT,10000000,784,12756,183583,187689,2.24,101522,26.0150225661,30.1869438678,100,425200,50.437792129,2,8.9996378175,3.9998965193
saxpy,NOPT,10000000,792,12627,184496,188858,2.36,101882,25.5601186263,30.2171163002,100,420900,56.1218093384,2,8.999401283,3.999828938
saxpy,NOPT,10000000,800,12500,184525,192105,4.11,99682,25.735207774,30.0221008707,100,416675,49.996840225,2,9,4
saxpy,NOPT,10000000,808,12377,186791,190129,1.79,101122,26.1672863483,31.2334852731,100,429052,56.2009998844,2,8.9993473985,3.9998135424
saxpy,NOPT,10000000,816,12255,184203,188581,2.38,99602,26.2813622077,31.1998808988,100,424840,50.4173504848,2,8.9999011393,3.9999717541
saxpy,NOPT,10000000,824,12136,181627,187195,3.07,99842,26.1042866577,31.2096026722,100,420706,56.0918369497,2,8.9999667226,3.9999904922
saxpy,NOPT,10000000,832,12020,183429,191725,4.52,96602,26.3951706474,30.7774498802,100,416676,49.9967202414,2,8.9996640075,3.9999040022
saxpy,NOPT,10000000,840,11905,184543,187122,1.40,98482,27.6183678323,32.1676080849,100,428571,56.1727693921,2,8.999885666600001,3.9999673333
saxpy,NOPT,10000000,848,11793,186465,190287,2.05,97441,27.5760680212,32.2425592523,100,424548,50.4034225658,2,8.9995053563,3.9998586732
saxpy,NOPT,10000000,856,11683,181713,186323,2.54,97721,27.6629239233,32.223372278,100,420579,56.0770687456,2,8.9996671256,3.999904893
saxpy,NOPT,10000000,864,11575,183504,189362,3.19,95483,27.2884799023,32.0399855702,100,416691,49.9967202414,2,8.9995800245,3.999880007
saxpy,NOPT,10000000,872,11468,180785,184829,2.24,96762,28.3742501285,33.2114506382,100,428120,56.1493327197,2,8.9999018967,3.9999719705
saxpy,NOPT,10000000,880,11364,181843,186405,2.51,94481,28.3631729918,33.2372305079,100,424256,50.3844102323,2,8.9998350053,3.9999528587
saxpy,NOPT,10000000,888,11262,181925,186825,2.69,95162,28.3120572247,33.198862654,100,420448,56.052878761,2,8.9996670218,3.9999048634
saxpy,NOPT,10000000,896,11161,182467,188639,3.38,92802,27.8355582428,32.8653857152,100,416668,49.9967602359,2,8.9998656004,3.9999616001
saxpy,NOPT,10000000,904,11062,184159,188880,2.56,97282,28.7448098273,33.5493991539,100,427750,56.1105556429,2,8.9999345412,3.9999812975
saxpy,NOPT,10000000,912,10965,179277,185125,3.26,95042,28.726939867,33.6424441468,100,423980,50.3521736437,2,8.9999009387,3.9999716968
saxpy,NOPT,10000000,920,10870,180691,187469,3.75,95442,28.698643621,33.5656348721,100,420297,56.0209777713,2,8.9996002827,3.999885795
saxpy,NOPT,10000000,928,10776,183435,188147,2.57,93722,28.4401440752,33.3999128606,100,416672,49.9967602359,2,8.9998656017,3.9999616005
saxpy,NOPT,10000000,936,10684,183837,187687,2.09,94562,29.5607497743,34.5878655,100,427380,56.0923047529,2,8.9997706959,3.9999344845
saxpy,NOPT,10000000,944,10594,180153,183849,2.05,92762,29.523903771,34.6499233824,100,423750,50.3452335371,2,8.999240118,3.9997828909
saxpy,NOPT,10000000,952,10505,179103,186175,3.95,94122,30.1648713594,34.5940515509,100,420210,56.0057628409,2,8.9996001999,3.9998857714
saxpy,NOPT,10000000,960,10417,185257,189329,2.20,91402,28.8301494364,34.0705619177,100,416700,49.9967202414,2,8.9998320134,3.9999520038
saxpy,NOPT,10000000,968,10331,180229,186267,3.35,94002,29.669047321,35.5708827704,100,426994,56.073354317,2,8.9997868823,3.9999391092
saxpy,NOPT,10000000,976,10246,179859,184615,2.64,92122,30.3050919097,35.5847985835,100,423491,50.3326870819,2,8.9999504122,3.999985832
saxpy,NOPT,10000000,984,10163,176131,182001,3.33,93082,28.9265488786,35.5273620058,100,420050,55.9920247144,2,8.9998000238,3.9999428639
saxpy,NOPT,10000000,992,10081,176811,183211,3.62,90401,30.0743857912,35.3651945683,100,416671,49.9967602359,2,8.9998152019,3.9999472005
saxpy,NOPT,10000000,1000,10000,184201,188713,2.45,92761,31.2043788358,36.6044130252,100,426656,56.0603717455,2,9,4
saxpy,NOPT,10000000,1008,9921,177061,182219,2.91,90682,31.0508049272,36.7147195414,100,423296,50.32510776,2,8.9998015573,3.9999433021
saxpy,NOPT,10000000,1016,9843,178883,185315,3.60,90842,31.1593913988,36.619539141,100,419968,55.9757300015,2,8.999749981,3.999928566
saxpy,NOPT,10000000,1024,9766,178967,182435,1.94,88482,30.0493912633,36.1226950257,100,416672,49.996840225,2,8.9997984026,3.9999424007
