Kernel,Optimisation,ProblemSize,BlockSize,GridSize,MyDurationMin,MyDurationMed,Scalability,DurationNs,MeanOccupancyPerCU,MeanOccupancyPerActiveCU,GPUBusy,Wavefronts,L2CacheHit,SALUInsts,VALUInsts,SFetchInsts
saxpy,NOPT,100000000,8,12500000,6002998,6017685,0.24,5440813,23.4031657374,23.4845348452,100,16666666,80.7692182248,2,9,4
saxpy,NOPT,100000000,16,6250000,3171420,3172708,0.04,2851649,33.4776377609,33.6950813616,100,8333333,66.5699835086,2,9,4
saxpy,NOPT,100000000,24,4166667,3181887,3183293,0.04,2863450,37.6843836512,37.9106439546,100,5555556,69.3355630873,2,9,4
saxpy,NOPT,100000000,32,3125000,3358293,3361702,0.10,3025133,36.9143196188,37.1249596418,100,4166667,50.000016,2,9,4
saxpy,NOPT,100000000,40,2500000,3201413,3202796,0.04,2877810,39.4622003212,39.7180741435,100,6666668,65.5680033478,2,9,4
saxpy,NOPT,100000000,48,2083334,3236890,3242993,0.19,2918691,38.9798476835,39.2219969157,100,5555558,56.139438947,2,8.99999874,3.99999964
saxpy,NOPT,100000000,56,1785715,3288484,3290510,0.06,2959932,38.8865549581,39.1153216003,100,4761906,62.1083550518,2,8.99999706,3.99999916
saxpy,NOPT,100000000,64,1562500,3353405,3355098,0.05,3016694,35.666455459,35.8717420335,100,4166666,50.000016,2,9,4
saxpy,NOPT,100000000,72,1388889,3198004,3199887,0.06,2877411,36.7915705694,37.0228240626,100,5555556,61.250413613,2,8.99999874,3.99999964
saxpy,NOPT,100000000,80,1250000,3253078,3257012,0.12,2934972,35.2280622409,35.4480293648,100,5000001,53.5129824459,2,9,4
saxpy,NOPT,100000000,88,1136364,3277493,3279901,0.07,2953572,35.4799804926,35.690434653,100,4545456,59.5536104189,2,8.99999846,3.99999956
saxpy,NOPT,100000000,96,1041667,3336096,3339100,0.09,3003213,32.8264390817,33.0093856139,100,4166670,50.000016,2,8.99999832,3.99999952
saxpy,NOPT,100000000,104,961539,3254795,3257394,0.08,2932051,36.8628282194,37.0928895878,100,5128208,59.5782936636,2,8.99999727,3.99999922
saxpy,NOPT,100000000,112,892858,3291893,3294277,0.07,2964973,36.1436445176,36.3601954234,100,4761908,52.3907241606,2,8.99999559,3.99999874
saxpy,NOPT,100000000,120,833334,3303099,3305483,0.07,2975254,36.5537236804,36.7705165315,100,4444448,58.4036965198,2,8.99999685,3.9999991
saxpy,NOPT,100000000,128,781250,3336716,3339195,0.07,3003494,27.570860865,27.7353471322,100,4166664,50.000016,2,9,4
saxpy,NOPT,100000000,136,735295,3251505,3254008,0.08,2934212,34.558399675,34.7545107482,100,4901965,58.7492442863,2,8.999994288,3.999998368
saxpy,NOPT,100000000,144,694445,3275013,3279495,0.14,2948053,34.1476681701,34.3454699774,100,4629635,51.9614187997,2,8.999995464,3.999998704
saxpy,NOPT,100000000,152,657895,3286219,3291082,0.15,2959733,34.2881727846,34.4946035784,100,4385965,57.9509663943,2,8.999998404,3.999999544
saxpy,NOPT,100000000,160,625000,3327394,3329897,0.08,2995255,32.4331058005,32.6285237207,100,4166665,50.000016,2,9,4
