Kernel,Optimisation,ProblemSize,BlockSize,GridSize,MyDurationMin,MyDurationMed,Scalability,DurationNs,MeanOccupancyPerCU,MeanOccupancyPerActiveCU,GPUBusy,Wavefronts,L2CacheHit,SALUInsts,VALUInsts,SFetchInsts
saxpy,NOPT,10000000,8,1250000,629,588,-6.49,543049,17.3295122918,17.8131956202,100,1666667,80.7694011816,2,9,4
saxpy,NOPT,10000000,16,625000,342,312,-8.81,283204,16.9166791409,17.9464370929,100,833333,66.6657599768,2,9,4
saxpy,NOPT,10000000,24,416667,240,223,-7.01,193963,16.7406354863,18.3267959551,100,555556,69.9989967681,2,9,4
saxpy,NOPT,10000000,32,312500,177,168,-5.00,148082,16.226126493,18.2259155154,100,416666,50.0001599992,2,9,4
saxpy,NOPT,10000000,40,250000,170,163,-3.89,116602,33.4127578098,37.7768492233,100,666666,66.6524755724,2,9,4
saxpy,NOPT,10000000,48,208334,150,165,9.90,100201,31.9927297012,38.1418310947,100,555558,57.1224943221,2,8.9999748001,3.9999928
saxpy,NOPT,10000000,56,178572,165,151,-8.51,87521,33.1931172188,39.0760003848,100,476192,63.0928412095,2,8.9999853,3.9999958
saxpy,NOPT,10000000,64,156250,156,153,-2.06,77322,32.0369260958,38.6414009134,100,416666,49.996840225,2,9,4
saxpy,NOPT,10000000,72,138889,159,163,2.37,104642,31.101469759,36.6167293742,100,555555,61.9755588797,2,8.9999748,3.9999928
saxpy,NOPT,10000000,80,125000,153,155,1.51,95242,30.915515396,36.6275269463,100,499998,54.1126430943,2,9,4
saxpy,NOPT,10000000,88,113637,166,155,-6.14,89522,30.348667451,36.707525169,100,454548,60.2136869917,2,8.9999692002,3.9999912
saxpy,NOPT,10000000,96,104167,162,153,-5.69,81641,30.6123668704,36.5791453097,100,416667,49.9967202414,2,8.9999664,3.9999904
saxpy,NOPT,10000000,104,96154,158,158,-0.05,93122,33.4833924082,39.1390559973,100,512820,60.2316307548,2,8.99998635,3.9999961
