Kernel,Optimisation,ProblemSize,BlockSize,GridSize,MyDurationMin,MyDurationMed,Scalability,DurationNs,MeanOccupancyPerCU,MeanOccupancyPerActiveCU,GPUBusy,Wavefronts,L2CacheHit,SALUInsts,VALUInsts,SFetchInsts
saxpy,NOPT,10000000,8,1250000,591640,592780,0.19,545570,17.3142572132,17.8081165628,100,1666667,80.7694366839,2,9,4
saxpy,NOPT,10000000,16,625000,313878,315018,0.36,285046,16.8673093696,17.9275368687,100,833333,66.6660266554,2,9,4
saxpy,NOPT,10000000,24,416667,222559,223937,0.62,194884,16.6997560259,18.3088047088,100,555556,69.9995151929,2,9,4
saxpy,NOPT,10000000,32,312500,169439,170660,0.72,149083,16.163119339,18.2228733663,100,416666,50.0001599992,2,9,4
saxpy,NOPT,10000000,40,250000,165701,167441,1.05,118322,33.4797374258,37.9406292988,100,666668,66.6484368998,2,9,4
saxpy,NOPT,10000000,48,208334,156660,165262,5.49,100242,32.6180672147,37.9775789898,100,555558,57.1246804503,2,8.9999874001,3.9999964
saxpy,NOPT,10000000,56,178572,148239,150781,1.71,88522,31.6504431203,38.9563172215,100,476192,63.1043869777,2,8.9999706001,3.9999916
saxpy,NOPT,10000000,64,156250,149460,152416,1.98,78281,29.7937869616,38.7489031699,100,416666,49.9968002304,2,9,4
saxpy,NOPT,10000000,72,138889,146918,162621,10.69,105882,31.7893360288,36.6218135379,100,555555,61.9841888147,2,8.9999874,3.9999964
saxpy,NOPT,10000000,80,125000,154881,155878,0.64,95682,31.3588265778,36.6273670326,100,499998,54.1086341261,2,9,4
saxpy,NOPT,10000000,88,113637,151501,152459,0.63,90482,30.1216977978,36.7101173495,100,454548,60.2121141332,2,8.9999692002,3.9999912
saxpy,NOPT,10000000,96,104167,149741,154982,3.50,82042,30.4359994686,36.4792674402,100,416670,49.9967202414,2,8.9999664003,3.9999904001
saxpy,NOPT,10000000,104,96154,146742,156341,6.54,93441,32.919150447,39.1395538449,100,512820,60.2222671915,2,8.99998635,3.9999961
saxpy,NOPT,10000000,112,89286,148802,150900,1.41,87442,33.0184253205,39.1153641873,100,476192,52.9866748296,2,8.9999853,3.9999958
saxpy,NOPT,10000000,120,83334,149517,150843,0.89,84361,32.8696327677,39.21116935,100,444448,59.090950738,2,8.9999685003,3.9999910001
saxpy,NOPT,10000000,128,78125,148158,152121,2.67,78641,31.7274110289,38.2740393846,100,416668,49.9968002304,2,9,4
saxpy,NOPT,10000000,136,73530,155940,159440,2.24,98962,29.7003505301,35.0510165628,100,490200,59.1744964777,2,8.9999143207,3.9999755202
saxpy,NOPT,10000000,144,69445,143461,153818,7.22,92842,29.6153229014,35.0558736567,100,462965,52.3191517763,2,8.9999092804,3.9999740801
saxpy,NOPT,10000000,152,65790,150580,153518,1.95,90482,29.7835649272,35.1116319763,100,438600,58.3737607889,2,8.9999680803,3.9999908801
saxpy,NOPT,10000000,160,62500,152197,154243,1.34,85721,28.3971422093,35.0518052796,100,416665,49.996840225,2,9,4
saxpy,NOPT,10000000,168,59524,148559,160060,7.74,97322,30.2119605654,35.140125474,100,476190,58.5283293515,2,8.9999853,3.9999958
saxpy,NOPT,10000000,176,56819,147958,160460,8.45,92561,28.4890359429,35.1509638842,100,454548,51.9274442685,2,8.9999230004,3.9999780001
saxpy,NOPT,10000000,184,54348,143242,152740,6.63,90042,29.7951334599,35.1405154881,100,434784,57.9004474054,2,8.9999678001,3.9999908
saxpy,NOPT,10000000,192,52084,148296,150781,1.68,84882,29.3917507925,35.0560043434,100,416676,49.9967202414,2,8.999865603,3.9999616009
saxpy,NOPT,10000000,200,50000,147800,154119,4.27,94361,29.1025422143,35.6974212786,100,466662,58.0849333238,2,9,4
