Kernel,Optimisation,ProblemSize,BlockSize,GridSize,MyDurationMin,MyDurationMed,Scalability,DurationNs,MeanOccupancyPerCU,MeanOccupancyPerActiveCU,GPUBusy,Wavefronts,L2CacheHit,SALUInsts,VALUInsts,SFetchInsts
saxpy,NOPT,134217728,8,16777216,7327066,7330456,0.05,7298045,23.5813343909,23.6402914907,100,22369621,80.7692066099,2,9,4
saxpy,NOPT,134217728,16,8388608,3902919,3911728,0.23,3852147,34.1561171113,34.3213156633,100,11184811,66.5503657182,2,9,4
saxpy,NOPT,134217728,24,5592406,4015540,4022486,0.17,3984710,37.5406928206,37.7151893139,100,7456541,69.4057275191,2,9,4
saxpy,NOPT,134217728,32,4194304,4562269,4566805,0.10,4525762,36.3903582608,36.5290723721,100,5592405,50.0000119209,2,9,4
saxpy,NOPT,134217728,40,3355444,3948243,3953639,0.14,3899629,39.4657510854,39.6535844077,100,8947850,65.5573981366,2,8.9999992177,3.9999997765
saxpy,NOPT,134217728,48,2796203,4246955,4251517,0.11,4206914,38.6258982366,38.7892168774,100,7456542,56.2490132882,2,8.9999981225,3.9999994636
saxpy,NOPT,134217728,56,2396746,4407347,4411774,0.10,4362077,38.6072341393,38.7578731846,100,6391322,62.1693508483,2,8.9999989048,3.9999996871
saxpy,NOPT,134217728,64,2097152,4639737,4647050,0.16,4600441,34.343710578,34.4606285627,100,5592406,50.0000119209,2,9,4
saxpy,NOPT,134217728,72,1864136,4102639,4109294,0.16,4063312,35.7083267562,35.8600181076,100,7456542,61.36403874,2,8.9999962449,3.9999989271
saxpy,NOPT,134217728,80,1677722,4295016,4302136,0.17,4251477,34.6418114634,34.7843269654,100,6710889,53.5479599937,2,8.9999979138,3.999999404
saxpy,NOPT,134217728,88,1525202,4388813,4399952,0.25,4352718,34.7737168185,34.9189710451,100,6100809,59.6021583056,2,8.9999988526,3.9999996722
saxpy,NOPT,134217728,96,1398102,4568377,4573594,0.11,4527481,32.4180136616,32.5422516759,100,5592408,50.0000119209,2,8.9999974966,3.9999992847
saxpy,NOPT,134217728,104,1290556,4320505,4325874,0.12,4273397,36.0431772893,36.1946757992,100,6882964,59.6065915639,2,8.999996949,3.9999991283
saxpy,NOPT,134217728,112,1198373,4438262,4442587,0.10,4390119,35.43815761,35.5860595925,100,6391324,52.3981250263,2,8.9999978095,3.9999993742
saxpy,NOPT,134217728,120,1118482,4473162,4477956,0.11,4433600,35.681636071,35.8276827119,100,5965236,58.4313781262,2,8.9999964796,3.9999989942
saxpy,NOPT,134217728,128,1048576,4597391,4608209,0.24,4544723,25.4530879402,25.5522221461,100,5592404,50.0000119209,2,9,4
saxpy,NOPT,134217728,136,986896,4294353,4302848,0.20,4258198,34.0966011855,34.2373462685,100,6579310,58.7695693935,2,8.9999914885,3.9999975681
saxpy,NOPT,134217728,144,932068,4397407,4403555,0.14,4347359,33.5752102336,33.7171620017,100,6213785,51.9752467201,2,8.9999977469,3.9999993563
saxpy,NOPT,134217728,152,883012,4437852,4442105,0.10,4392600,33.8503438794,33.986888638,100,5886745,57.9434886352,2,8.9999964327,3.9999989808
saxpy,NOPT,134217728,160,838861,4550286,4557364,0.16,4509043,31.870832963,32.000468214,100,5592405,50.0000119209,2,8.9999987483,3.9999996424
saxpy,NOPT,134217728,168,798916,4382424,4390885,0.19,4325079,34.2587188484,34.4036856525,100,6391326,58.1635751288,2,8.9999945238,3.9999984354
saxpy,NOPT,134217728,176,762601,4448230,4454636,0.14,4407162,33.6681939542,33.8067018983,100,6100806,51.5632283502,2,8.9999977052,3.9999993443
saxpy,NOPT,134217728,184,729445,4470056,4480821,0.24,4421242,34.1264077114,34.2719839347,100,5835558,57.5060463878,2,8.9999940023,3.9999982864
